name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,weight
100% Bran,N,C,70,4,1,130,10,5,6,280,1
100% Natural Bran,Q,C,120,3,5,15,2,8,8,135,1
All-Bran,K,C,70,4,1,260,9,7,5,320,1
All-Bran with Extra Fiber,K,C,50,4,0,140,14,8,0,330,1
Almond Delight,R,C,110,2,2,200,1,14,8,-1,1
Apple Cinnamon Cheerios,G,C,110,2,2,180,1.5,10.5,10,70,1
Apple Jacks,K,C,110,2,0,125,1,11,14,30,1
Basic 4,G,C,97.7443609,2.255639098,1.503759398,157.8947368,1.503759398,13.53383459,6.015037594,75.18796992,1
Bran Chex,R,C,90,2,1,200,4,15,6,125,1
Bran Flakes,P,C,90,3,0,210,5,13,5,190,1
Cap'n'Crunch,Q,C,120,1,2,220,0,12,12,35,1
Cheerios,G,C,110,6,2,290,2,17,1,105,1
Cinnamon Toast Crunch,G,C,120,1,3,210,0,13,9,45,1
Clusters,G,C,110,3,2,140,2,13,7,105,1
Cocoa Puffs,G,C,110,1,1,180,0,12,13,55,1
Corn Chex,R,C,110,2,0,280,0,22,3,25,1
Corn Flakes,K,C,100,2,0,290,1,21,2,35,1
Corn Pops,K,C,110,1,0,90,1,13,12,20,1
Count Chocula,G,C,110,1,1,180,0,12,13,65,1
Cracklin' Oat Bran,K,C,110,3,3,140,4,10,7,160,1
Cream of Wheat (Quick),N,H,100,3,0,80,1,21,0,-1,1
Crispix,K,C,110,2,0,220,1,21,3,30,1
Crispy Wheat & Raisins,G,C,100,2,1,140,2,11,10,120,1
Double Chex,R,C,100,2,0,190,1,18,5,80,1
Froot Loops,K,C,110,2,1,125,1,11,13,30,1
Frosted Flakes,K,C,110,1,0,200,1,14,11,25,1
Frosted Mini-Wheats,K,C,100,3,0,0,3,14,7,100,1
Fruit & Fibre Dates; Walnuts; and Oats,P,C,96,2.4,1.6,128,4,9.6,8,160,1
Fruitful Bran,K,C,90.22556391,2.255639098,0,180.4511278,3.759398496,10.52631579,9.022556391,142.8571429,1
Fruity Pebbles,P,C,110,1,1,135,0,13,12,25,1
Golden Crisp,P,C,100,2,0,45,0,11,15,40,1
Golden Grahams,G,C,110,1,1,280,0,15,9,45,1
Grape Nuts Flakes,P,C,100,3,1,140,3,15,5,85,1
Grape-Nuts,P,C,110,3,0,170,3,17,3,90,1
Great Grains Pecan,P,C,120,3,3,75,3,13,4,100,1
Honey Graham Ohs,Q,C,120,1,2,220,1,12,11,45,1
Honey Nut Cheerios,G,C,110,3,1,250,1.5,11.5,10,90,1
Honey-comb,P,C,110,1,0,180,0,14,11,35,1
Just Right Crunchy  Nuggets,K,C,110,2,1,170,1,17,6,60,1
Just Right Fruit & Nut,K,C,107.6923077,2.307692308,0.769230769,130.7692308,1.538461538,15.38461538,6.923076923,73.07692308,1
Kix,G,C,110,2,1,260,0,21,3,40,1
Life,Q,C,100,4,2,150,2,12,6,95,1
Lucky Charms,G,C,110,2,1,180,0,12,12,55,1
Muesli Raisins; Dates; & Almonds,R,C,150,4,3,95,3,16,11,170,1
Muesli Raisins; Peaches; & Pecans,R,C,150,4,3,150,3,16,11,170,1
Mueslix Crispy Blend,K,C,106.6666667,2,1.333333333,100,2,11.33333333,8.666666667,106.6666667,1
Multi-Grain Cheerios,G,C,100,2,1,220,2,15,6,90,1
Nut&Honey Crunch,K,C,120,2,1,190,0,15,9,40,1
Nutri-Grain Almond-Raisin,K,C,105.2631579,2.255639098,1.503759398,165.4135338,2.255639098,15.78947368,5.263157895,97.7443609,1
Nutri-grain Wheat,K,C,90,3,0,170,3,18,2,90,1
Oatmeal Raisin Crisp,G,C,104,2.4,1.6,136,1.2,10.8,8,96,1
Post Nat. Raisin Bran,P,C,90.22556391,2.255639098,0.751879699,150.3759398,4.511278195,8.270676692,10.52631579,195.4887218,1
Product 19,K,C,100,3,0,320,1,20,3,45,1
Puffed Rice,Q,C,100,2,0,0,0,26,0,30,1
Puffed Wheat,Q,C,100,4,0,0,2,20,0,100,1
Quaker Oat Squares,Q,C,100,4,1,135,2,14,6,110,1
Quaker Oatmeal,Q,H,100,5,2,0,2.7,-1,-1,110,1
Raisin Bran,K,C,90.22556391,2.255639098,0.751879699,157.8947368,3.759398496,10.52631579,9.022556391,180.4511278,1
Raisin Nut Bran,G,C,100,3,2,140,2.5,10.5,8,140,1
Raisin Squares,K,C,90,2,0,0,2,15,6,110,1
Rice Chex,R,C,110,1,0,240,0,23,2,30,1
Rice Krispies,K,C,110,2,0,290,0,22,3,35,1
Shredded Wheat,N,C,96.38554217,2.409638554,0,0,3.614457831,19.27710843,0,114.4578313,1
Shredded Wheat 'n'Bran,N,C,90,3,0,0,4,19,0,140,1
Shredded Wheat spoon size,N,C,90,3,0,0,3,20,0,120,1
Smacks,K,C,110,2,1,70,1,9,15,40,1
Special K,K,C,110,6,0,230,1,16,3,55,1
Strawberry Fruit Wheats,N,C,90,2,0,15,3,15,5,90,1
Total Corn Flakes,G,C,110,2,1,200,0,21,3,35,1
Total Raisin Bran,G,C,93.33333333,2,0.666666667,126.6666667,2.666666667,10,9.333333333,153.3333333,1
Total Whole Grain,G,C,100,3,1,200,3,16,3,110,1
Triples,G,C,110,2,1,250,0,21,3,60,1
Trix,G,C,110,1,1,140,0,13,12,25,1
Wheat Chex,R,C,100,3,1,230,3,17,3,115,1
Wheaties,G,C,100,3,1,200,3,17,3,110,1
Wheaties Honey Gold,G,C,110,2,1,200,1,16,8,60,1
