name,number,title,full_name,term_quarter,term_year,grade_Ap,grade_A,grade_Am,grade_Bp,grade_B,grade_Bm,grade_Cp,grade_C,grade_Cm,grade_Dp,grade_D,grade_Dm,grade_F,grade_no_pass,grade_pass
A&O SCI 101,101,Fundamentals of Atmospheric Dynamics and Thermodynamics,Jasper Kok,FA,2017,4,1,5,2,9,5,1,0,0,1,1,1,0,0,0
A&O SCI 1L,1L,Climate Change: From Puzzles to Policy -- Laboratory,Ulrike Seibt,FA,2017,0,35,4,0,0,1,0,0,0,0,0,0,0,0,0
A&O SCI 3,3,Introduction to Atmospheric Environment,Jeffrey Lew,FA,2017,0,5,4,0,7,2,1,4,1,0,1,1,4,1,3
A&O SCI 2L,2L,Air Pollution Laboratory,Jeffrey Lew,FA,2017,0,6,1,2,11,0,2,6,0,0,0,0,1,0,2
A&O SCI 1,1,Climate Change: From Puzzles to Policy,Ulrike Seibt,FA,2017,43,37,24,17,21,8,5,4,3,3,0,1,2,2,10
A&O SCI 2,2,Air Pollution,Jeffrey Lew,FA,2017,0,26,8,14,56,5,7,26,2,1,4,0,5,4,26
A&O SCI 3L,3L,Introduction to Atmospheric Environment Laboratory,Jeffrey Lew,FA,2017,0,1,1,0,2,0,0,2,0,0,0,0,3,0,1
AERO ST A,A,Leadership Laboratory,J.R. Liscombe,FA,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39
AERO ST 130A,130A,Air Force Leadership Studies,Timothy Reynolds,FA,2017,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0
AF AMER M104C,M104C,African American Literature of 1960s and 1970s,Jeffrey Solomon,FA,2017,1,4,0,1,0,1,2,1,0,0,0,0,2,0,0
AF AMER M114C,M114C,African American Political Thought,Raul Moreno Campos,FA,2017,2,7,3,4,3,1,1,1,0,0,0,0,2,0,0
AF AMER C191,C191,Variable Topics Research Seminars: Afro-American Studies,Uri McMillan,FA,2017,1,2,5,0,4,6,2,1,0,0,0,4,5,0,0
AF AMER C191,C191,Variable Topics Research Seminars: Afro-American Studies,Bryonn Bain,FA,2017,3,5,5,0,0,2,0,0,0,0,0,0,0,0,0
AF AMER M120,M120,"Race, Inequality, and Public Policy",Walter Allen,FA,2017,3,4,10,4,9,2,0,0,0,0,0,0,1,0,0
AF AMER 188A,188A,Special Courses in Afro-American Studies,David Stein,FA,2017,8,26,3,3,0,3,0,0,1,1,1,1,2,0,0
AF AMER 188A,188A,Special Courses in Afro-American Studies,Vickie Mays,FA,2017,5,25,17,4,1,0,1,0,0,0,2,0,0,0,0
AF AMER 188A,188A,Special Courses in Afro-American Studies,T Due,FA,2017,0,44,4,2,3,0,4,1,0,0,0,0,0,0,0
AM IND M10,M10,Introduction to American Indian Studies,Shannon Speed,FA,2017,0,96,7,4,2,0,1,0,0,1,0,0,1,1,3
AM IND M161,M161,Comparative American Indian Societies,Duane Champagne,FA,2017,2,5,3,4,3,2,1,1,1,0,0,0,0,0,0
